+-----------+------+-----------------+-------------------+----------+----------+---------------+--------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------------+-----------------------------+-----------------------------+
| StudentID | CGPA | TenthPercentage | TwelfthPercentage | Backlogs | Projects | AptitudeScore | CommunicationScore | Embedding_Department_1 | Embedding_Department_2 | Embedding_Department_3 | Embedding_Internship_1 | Embedding_Internship_2 | Embedding_Internship_3 | Embedding_PlacementStatus_1 | Embedding_PlacementStatus_2 | Embedding_PlacementStatus_3 |
+-----------+------+-----------------+-------------------+----------+----------+---------------+--------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------------+-----------------------------+-----------------------------+
| 1.0       | 8.5  | 88.0            | 85.0              | 0.0      | 3.0      | 78.0          | 82.0               | 1.0                    | 0.0                    | 0.0                    | 1.0                    | 0.0                    | 0.0                    | 1.0                         | 0.0                         | 0.0                         |
| 2.0       | 6.2  | 72.0            | 68.0              | 2.0      | 1.0      | 55.0          | 60.0               | 0.0                    | 1.0                    | 0.0                    | 0.0                    | 1.0                    | 0.0                    | 0.0                         | 1.0                         | 0.0                         |
| 3.0       | 7.8  | 80.0            | 79.0              | 0.0      | 2.0      | 70.0          | 75.0               | 0.0                    | 0.0                    | 1.0                    | 1.0                    | 0.0                    | 0.0                    | 1.0                         | 0.0                         | 0.0                         |
| 4.0       | 5.9  | 65.0            | 60.0              | 3.0      | 0.0      | 48.0          | 52.0               | 1.0                    | 0.0                    | 0.0                    | 0.0                    | 1.0                    | 0.0                    | 0.0                         | 1.0                         | 0.0                         |
| 5.0       | 7.1  | 75.0            | 73.0              | 1.0      | 2.0      | 65.0          | 68.0               | 0.0                    | 1.0                    | 0.0                    | 1.0                    | 0.0                    | 0.0                    | 1.0                         | 0.0                         | 0.0                         |
| 6.0       | 9.1  | 92.0            | 90.0              | 0.0      | 4.0      | 88.0          | 90.0               | 1.0                    | 0.0                    | 0.0                    | 1.0                    | 0.0                    | 0.0                    | 1.0                         | 0.0                         | 0.0                         |
| 7.0       | 6.8  | 70.0            | 71.0              | 1.0      | 1.0      | 58.0          | 62.0               | 0.0                    | 1.0                    | 0.0                    | 0.0                    | 1.0                    | 0.0                    | 0.0                         | 1.0                         | 0.0                         |
| 8.0       | 8.0  | 84.0            | 82.0              | 0.0      | 3.0      | 74.0          | 77.0               | 0.0                    | 0.0                    | 1.0                    | 1.0                    | 0.0                    | 0.0                    | 1.0                         | 0.0                         | 0.0                         |
| 9.0       | 6.5  | 69.0            | 67.0              | 2.0      | 1.0      | 52.0          | 58.0               | 1.0                    | 0.0                    | 0.0                    | 0.0                    | 1.0                    | 0.0                    | 0.0                         | 1.0                         | 0.0                         |
| 10.0      | 7.4  | 77.0            | 76.0              | 0.0      | 2.0      | 68.0          | 70.0               | 0.0                    | 1.0                    | 0.0                    | 1.0                    | 0.0                    | 0.0                    | 1.0                         | 0.0                         | 0.0                         |
+-----------+------+-----------------+-------------------+----------+----------+---------------+--------------------+------------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------------+-----------------------------+-----------------------------+
