+-----------+------------+------+-----------------+-------------------+----------+------------+----------+---------------+--------------------+-----------------+
| StudentID | Department | CGPA | TenthPercentage | TwelfthPercentage | Backlogs | Internship | Projects | AptitudeScore | CommunicationScore | PlacementStatus |
+-----------+------------+------+-----------------+-------------------+----------+------------+----------+---------------+--------------------+-----------------+
| 1         | CSE        | 8.5  | 88              | 85                | 0        | Yes        | 3        | 78            | 82                 | Placed          |
| 2         | ECE        | 6.2  | 72              | 68                | 2        | No         | 1        | 55            | 60                 | Not Placed      |
| 3         | EEE        | 7.8  | 80              | 79                | 0        | Yes        | 2        | 70            | 75                 | Placed          |
| 4         | Mechanical | 5.9  | 65              | 60                | 3        | No         | 0        | 48            | 52                 | Not Placed      |
| 5         | Civil      | 7.1  | 75              | 73                | 1        | Yes        | 2        | 65            | 68                 | Placed          |
| 6         | CSE        | 9.1  | 92              | 90                | 0        | Yes        | 4        | 88            | 90                 | Placed          |
| 7         | ECE        | 6.8  | 70              | 71                | 1        | No         | 1        | 58            | 62                 | Not Placed      |
| 8         | EEE        | 8.0  | 84              | 82                | 0        | Yes        | 3        | 74            | 77                 | Placed          |
| 9         | Mechanical | 6.5  | 69              | 67                | 2        | No         | 1        | 52            | 58                 | Not Placed      |
| 10        | Civil      | 7.4  | 77              | 76                | 0        | Yes        | 2        | 68            | 70                 | Placed          |
+-----------+------------+------+-----------------+-------------------+----------+------------+----------+---------------+--------------------+-----------------+
