,StudentID,Department,CGPA,TenthPercentage,TwelfthPercentage,Backlogs,Internship,Projects,AptitudeScore,CommunicationScore,PlacementStatus
count,10.0,10,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10
unique,,5,,,,,2,,,,2
top,,CSE,,,,,Yes,,,,Placed
freq,,2,,,,,6,,,,6
mean,5.5,,7.330000000000001,77.2,75.1,0.9,,1.9,65.6,69.4,
std,3.0276503540974917,,1.0285372569279583,8.753412033157254,9.12201244852862,1.1005049346146119,,1.1972189997378648,12.545030003064074,11.786998487033639,
min,1.0,,5.9,65.0,60.0,0.0,,0.0,48.0,52.0,
25%,3.25,,6.575,70.5,68.75,0.0,,1.0,55.75,60.5,
50%,5.5,,7.25,76.0,74.5,0.5,,2.0,66.5,69.0,
75%,7.75,,7.95,83.0,81.25,1.75,,2.75,73.0,76.5,
max,10.0,,9.1,92.0,90.0,3.0,,4.0,88.0,90.0,
